,input,target
255,فعلاً ما عاد تقدر تشتغل تصميم بدون كومبيوتر.,في الواقع ، لم يعد بإمكانك تشغيل تصميم بدون جهاز كمبيوتر.
256,ركوض.,حكمت.
257,في شق هون ببلوزتي. إذا خرج تخيطلي ياه، إذا سمحت؟,في شق Hoos مع بلوزة بلدي. إذا خرجت ، تذهب ، إذا سمحت؟
258,شقد الأجرة لمانشيستر؟,أجرة لمانشستر؟
259,خرج تعيرني كبل تشباية؟,الخروج لي الملفوف ، الزانية؟
260,وين خرج أشتري حصيرة شاطئ؟,من أين اشتريت حصيرة الشاطئ؟
261,معناها، إذا سمحت عملي حجز جديد.,معناها ، إذا سمحت بحجزتي الجديدة.
262,عطيني شريحة الخنزير هديك، بس مو سميكة قدها.,أعطني شريحة لحم الخنزير ، ولكن ليس سميكًا.
263,جايين عالسبعة.,جايين هو سبعة.
264,لما بشوف الأسعار قليلة كل هاد، بحس بسخافة الشراء باليابان.,عندما نرى أسعار القليل من هذا ، مع شعور بالسخافة من الشراء في اليابان.
265,سجلاتي انسرقت كمان.,سجلت سجلاتي أيضا.
266,كورنيه بوظة بالفانيلا، إذا سمحت.,آيس كريم الفانيليا ، إذا سمح.
267,بوافقك. لازم يصير كتير طبيعي.,أوافق. يجب أن تصبح طبيعية.
268,انتبه عالحفرة، انتبه عالحفرة، بعدين جنب البواب، إذا سمحت.,انتبه إلى الحفرة ، انتبه إلى الحفرة ، ثم حارس بوابة ، إذا سمح بذلك.
269,بدي بطاقة ائتمان.,اريد بطاقة ائتمان.
270,هي الرقم.,هذا هو الرقم.
271,قلي وين في محل حلو عالنهر، إذا ممكن.,Fry Wayne في مكان حلو نهر ، إن أمكن.
272,إذا سمحت عطيني تقرير عن الحادث.,إذا أعطتني تقريرًا عن الحادث.
273,لا، شكراً هلئ.,لا، شكرا.
274,أوكي، إذا سمحت خليك عالخط. أستاذ ناكاجيما، الهيئة آنسة سايتو ما عم ترد عالمكالمة. بتريدني ضل عم دقلها كمان شوي؟,حسنًا ، إذا سمحت لك بالاتصال. Professor Nakagima ، الجسد ، الآنسة Saito ، لا يستجيب للعالم. هل تريد مني الذهاب إلى عم Daglha ، أيضًا؟
275,يمكن، بس لازم نوزنون لحال.,هذا ممكن ، لكننا بحاجة إلى وضع.
276,كأنو شوي كتير ني.,كما لو كان القليل جدا.
277,وين استلام الشناتي للرحلة سبعة صفر تلاتة؟,أين استلم الشاناتي الرحلة سبعة صفر ثلاثة؟
278,في شي غلط بمسكتك.,في شيء خاطئ في صمتك.
279,رح يكب هاد؟,هل ستحصل؟
280,لا، شكراً. أحسن شي ما أعود أشرب.,لا شكرا لك. أفضل شيء هو العودة.
281,إذا سمحت قلي وين في شوارع خرج تسوق.,إذا سمحت بقلي واين في شوارع التسوق.
282,بروح هالباص ع فندق هيلتون؟,بروح الحافلة في فندق هيلتون؟
283,هلئ، هاللوحة كتير مميزة. رسمها تسوروتارو كاتاوكا. هو فنان عالمي معروف.,هالا ، هذه اللوحة مميزة للغاية. تم رسمها بواسطة Tzuruaro Katawuka.he هو فنان دولي معروف جيدًا.
284,كتير بحب الموسيقى الكلاسيكية.,أنا أحب الموسيقى الكلاسيكية.
285,خرج أعزمك عالعشا برا شي يوم؟,خرجت لأني أن تعيش في يوم واحد؟
286,طيب. اش اسم الجهة تبعتك والرقم، إذا سمحت.,جيد. ما هو اسم الحزب والرقم ، إذا سمحت بذلك.
287,عفواً. خليني أطلع، إذا سمحت.,آسف. دعني أخرج ، إذا سمحت بذلك.
288,خرج تصيح لشي موظف بيحكي ياباني؟,خرج وهو يصرخ من أجل موظف ياباني؟
289,منزور قرايبيننا كتير.,نحن نسبي جدا.
290,ميكي هاياكاوا. هي الغرفة سبعة صفر تنين.,Mickey Hayawa.it هي الغرفة Seven Zero Dragon.
291,لازم أضل هون المسا، ما؟ خرج تساعدني أحجز غرفة فندق؟,لا بد لي من الضلال ، ماذا؟ الخروج ساعدني في حجز غرفة فندق؟
292,ما لازم يطول. خمسطعش دقيقة بالكتير.,ما هو ضروري. دقيقة مع دقيقة.
293,بتقدر تقلي شقد كلفة هالمكالمة؟,هل يمكنك أن تقلى تكلفة هذه المكالمة؟
294,طيب، خرج تقلها أني دقيت، إذا سمحت؟ رح أرجع أدقلها بعدين.,حسنًا ، خرجت أنني كنت صعبة ، إذا سمحت؟ سأعود إلى بعدين.
295,في شي جولة صباحية؟,في شيء في جولة الصباح؟
296,بتصرف عملات أجنبية؟,الخلاف العملات الأجنبية؟
297,ميزانيتنا كلها حوالي خمسين دولار لتلات أشخاص.,ميزانيتنا هي كل ما يقرب من خمسين دولار لثلاثة أشخاص.
298,وين أشتري فيلم تصوير؟,من أين أشتري فيلم تصوير؟
299,عندك بيرة يابانية؟,هل لديك بيرة يابانية؟
300,بدي بدلة سباحة قياس صغير، إذا سمحت.,أريد بدلة سباحة صغيرة القياس ، إذا سمح بها.
301,بدي أسجل شناتيي.,أريد تسجيل شيناتي.
302,معك آنسة كاوازو بالغرفة ستطعش إدعش.,أنت ملكة جمال Kawasu في الغرفة ، سوف تنعش.
303,العفو.,عفو.
304,ما في طاول.,لا يوجد جدول.
305,اشو أهم بالنسبة إلكون كشعب ياباني، يوم راس السنة ولا يوم الميلاد؟,هل من المهم بالنسبة لـ Elkon كشعب ياباني ، يوم رأس السنة الجديدة أو يوم عيد الميلاد؟
306,رقم مقعدك تنين وتلاتين إيه. بعدين، روح ساوي لنهاية هالممر. هو المقعد يلي عالشباك.,رقم المقعد الخاص بك هو تنين واثنان.
307,بس دقيقة، إذا سمحت.,دقيقة فقط ، إذا سمحت.
308,إذا سمحت عبي تقرير مفقود.,إذا سمحت بتقرير مفقود.
309,ما بفهم الأميركية، أنا بحكي إنكليزي بريطاني.,أنا لا أفهم الأميركيين ، وأخبر اللغة الإنجليزية البريطانية.
310,من امبارحة.,من أمبارا.
311,بيتضمن تأمين ضد الالاصطدام ومسؤولية القانونية.,إنه يضمن التأمين ضد الاصطدام والمسؤولية القانونية.
312,ضيعت بطاقة الاستلام تبعي.,فقدت بطاقة الإيصال.
313,عندك ريش بتصميم منيح؟,هل لديك تصميم ناعم؟
314,عم بدق من كولبة بمحل مايسي.,عم كولابا في متجر Maysi.
315,هدول كتير كبار.,الكثير من الاتجاهات الرائعة.
316,شقد كلفة الصفة بالساعة؟,جعل تكلفة السعة في الساعة؟
317,سيداتي وسادتي، برحلتنا اليوم، معنا مضيفين بيحكوا ياباني ممكن تتعرفوا عليهون من دبابيس العلم يلي حاطينون. إذا بتعرفوا حدا بدو مساعدة لغوية، قولولنا إذا سمحتوا.,سيداتي ووسادتي ، رحلتنا اليوم ، مع مضيفينا ، إنهم يخبرون اليابانيين ، يمكنك التعرف عليه من دبابيس العلم التالية. إذا كنت تعرف نهاية المساعدة اللغوية ، أخبرنا إذا سمحت بذلك.
318,في شي فترة فنية محددة بتفضلها؟,في شيء تفضله في فترة تقنية محددة؟
319,إذا سمحت تأكد منو مرة تانية.,إذا كنت تستطيع التأكد مرة أخرى.
320,روح ساوي على طول النهر حوال نص ميل. بتوصل عالحديقة.,الروح المحلاة على طول النهر حول نص ميل. تصل إلى الحديقة.
321,لا، بضاينوا كتير.,لا ، كثيرا.
322,طيب، رح أبعتلك ياه ع لاس فيغاس.,حسنًا ، سأرسل لك ، Yha ، لاس فيجاس.
323,عم دور ع بلوز رياضية.,عم دور بلوزة رياضية.
324,بتريد شي تشربو من البار؟,هل تريد شيئًا يشربه من البار؟
325,هالطريق إذا سمحت. طلاع بهالأسانصير.,هذا الطريق ، إذا سمح.
326,أحسنلك تطلع بقطار التمانة ونص.,من الأفضل أن تنظر إلى قطار القوة والنص.
327,في شي سينما قريبة؟,في شيء قريب من السينما؟
328,هلئ موسم المحار، لذلك بكونوا كويسات.,تحقق من موسم المحار ، لذا كن كمات.
329,بدي مع ساعة إيد تانية.,اريد مع جهة ثانية.
330,رح اعمل تشيك ان حوالي الساعة تسعة المسا.,سأفعل التشيكية أن الساعة حوالي تسعة.
331,تأخر الوقت. لازم أروح.,إنه متأخر.يجب على  أن أذهب.
332,ما استعملت خدمة الغسيل تبعتك. بتتأكد منه مرة تانية؟,لم أستخدم خدمة الغسيل التي تبعتك. هل تأكد من ذلك مرة أخرى؟
333,بدي شاي، إذا سمحت.,أريد الشاي ، إذا سمح.
334,لا، مافي.,لا يوجد.
335,هاد آخر موقف؟,هذا هو الوضع الأخير؟
336,خلينا ندقلو.,دعنا نذهب.
337,هاد حد؟,هذا هو؟
338,وين خرج أطلع بباص للفرجة عالمعالم السياحية؟,من أين أخرج حافلة لتطويق عالم العوالم السياحية؟
339,إي، بدي أشوف معالم المدينة.,ه ، أريد أن أرى معالم المدينة.
340,في كتير سياح حوالين البناية، هيئتون تجمعوا ليشوفوا اش عم بصير.,في العديد من السياح حول المبنى ، تجمعت الجثتان لترى ما أراه.
341,شكراً لضيافتك.,شكرا لحسن ضيافتكم.
342,الصدق أفضل سياسة.,الصدق هو أفضل سياسة.
343,خرج تفيقني الساعة ستة، إذا سمحت؟,الوقت خرج ستة ، إذا سمحت؟
344,شقد بكلف نص يوم؟,يزعج تكلفة نص اليوم؟
345,أنا كينجي.,أنا كينجي.
346,بتعرف محلات حلوة خرج شوفة بشيكاغو؟,هل تعرف متاجر حلوة ، سأرى شيكاغو؟
347,طيب، إذا مصرين، رح أمشي معكون.,حسنًا ، إذا أصرنا ، فسوف أمشي معك.
348,بتبدلي هي بوحدة تانية نفس النوع، إذا سمحت؟,هل تستبدلها بوحدة ثانية من نفس النوع ، إذا سمحت؟
349,بدي أحجز عالساعة تلاتة ونص بعد الضهر.,أريد حجز الساعة الثالثة والبعد بعد الظهر.
350,صندوق الأمان، إذا سمحت.,مربع الأمن ، إذا سمح.
351,إذا سمحت اختار نبيذ مناسب.,إذا سمحت ، اختر نبيذ مناسب.
352,بفضل محل صغير.,بفضل متجر صغير.
353,لازم أدفع مشان البنزين؟,لا بد لي من دفع البنزين؟
354,حرامي. مسكو.,Harami.Musco.
355,عم نستنا رفقاتنا يجوا.,لقد نسينا رفاقنا.
356,إذا سمحت عطيني فراطة.,إذا سمحت لي أن أعطيني زجاجة.
357,كيرلي قوي، إذا سمحت.,مجعد قوي ، إذا سمح.
358,هي ناعمة وأمورة.,هي ناعمة ومرضية.
359,اش هية أوبرا اليوم؟,ما هي الأوبرا اليوم؟
360,مقلي، إذا سمحت.,المقلية.
361,ما رجع غسيلي لسا.,لم أعود.
362,بالمناسبة، فاضي شي السبت الجاي؟,بالمناسبة ، فارغة يوم السبت ، التالي؟
363,طيب، معناها، بجوز نتفق سوا منيح.,حسنًا ، معناها ، مع المكسرات ، نتفق.
364,عاملتني كأني شحاد.,لقد عاملتني كما لو كنت علاجًا.
365,فهمت. كمان، خرج تساعدني بمشكلة تانية؟,مفهومة.
366,بتقدر تحط عدسات طبية بهدول النضارات الشمسية؟,هل يمكنك الحصول على العدسات الطبية مع النظارات الشمسية؟
367,بدي تنين من هاد.,أريد تنينًا من هذا.
368,شقد لطيفين هالكلاب. أي فصيلة؟,خطاف بيت الشباب اللطيفة التي الأنواع؟
369,وقعت شوكتي. إذا سمحت جبلي وحدة تانية.,سقطت شوكة بلدي. إذا سمحت لجبل وحدة ثانية.
370,كان حلو.,كان حلو.
371,أكيد. روح ساوي وعويج عاليمين عند تالت مفرق. بتلاقيه ع يمينك.,بالطبع. روح الصويا و Awaj al -aimin في ما يلي هو تقاطع. أنت تلتقي بحقك.
372,عندك فيلم لشرايح ملونة؟,هل لديك فيلم لتفسيرات ملونة؟
373,بتعرف كاثي؟ هي حفلة عيد ميلادها.,هل تعرف كاثي؟ إنها حفلة عيد ميلادها.
374,في عندك مخطط ألوان؟,هل لديك نظام ألوان؟
375,بقدر أدفع بشيكات سياحية؟,كما أدفع مع الشيكات السياحية؟
376,بس، هو، يا زلمة، شلون بعرف أنو هاد الشي الحقيقي؟,ولكن ، يا زالما ، كيف تعرف أن هذا هو الشيء الحقيقي؟
377,بحسن آخدو بدون ضريبة؟,بيث ، خذ بدون ضريبة؟
378,ما عم بقدر أحط غراضي تحت الكرسي. بتعفلي ياه عندك، إذا سمحت؟,لا أريد أن أضع سريري تحت الكرسي. هل تفسدك ، إذا سمحت؟
379,خرج إذا سمحت تحط هالشنتاية بالطبون؟,الخروج إذا سمحت لهذا الزي للقيام بالدواء؟
380,أنا طالع هلئ، فرح آخدو.,أرى ، سعيد جدا.
381,إذا سمحت بعات حدا لفوق مشان غراضي عالستة ونص.,إذا سمحت بإنهاء إلى حد مقعدي ونص.
382,بدي خريطة سان فرانسيسكو والمنطقة المحيطة فيها.,أريد خريطة سان فرانسيسكو والمنطقة المحيطة بها.
383,اش نوع الخبز يلي عندك؟,أي نوع من الخبز يتبعك؟
384,وين الأصانصير؟,اين asnasir؟
385,في حدا بيعرف يعزف عالبيانو؟,في النهاية ، يعرف لاعبي البيانو؟
386,بإينا محطة لازم أنزل حتى أروح ع إمباير ستايت بيلدينج؟,مع محطة ، أحتاج إلى النزول للذهاب إلى مبنى Empire State؟
387,الميزانية تحت الألف دولار.,الميزانية تحت ألف دولار.
388,شكراً، بس ما بظن عندي وقت أضل ليلتين. خرج تحجزلي غرفة مزدوجة بهداك الفندق بس بليلة طنعش آذار؟,شكرًا لك ، لكنني لم أكن أعتقد أن لدي وقتًا عندما فقدت ليلتين. هل تخرج غرفة مزدوجة في هذا الفندق ، ولكن في ليلة المسيرة؟
389,خرج أحجز غرفة مزدوجة بتطل عالمحيط؟,خرجت لحجز غرفة مزدوجة تطل على عالم؟
390,لسا ما قررنا.,نحن لا نقرر.
391,رفيقي تفشكل وانفشكت أجرو.,تم تشكيل رفيقي ، وكنت منتشرة.
392,بدي أجرب البوظة.,أريد أن أجرب الآيس كريم.
393,في شي مطعم تايلندي قريب؟,في مطعم شي التايلاندي بالقرب من؟
394,هو جنب هديك البناية الطويلة. بقا، رجاع من نفس الطريق يلي جيت منو لعند الإشارة. بعدين، عويج عاليسار.,إنه بجانبك المبنى الطويل. baqa ، يعود من نفس الطريقة ، يتبعك للتوقيع.
395,لازم ألحق أطلع بالطيارة ع لوس أنجلس بكرة الصبح بكير.,لا بد لي من اللحاق بالطائرة على لوس أنجل ، كرات الصباح.
396,"معناها بنصحك بثقة بهي ""جولة مدينة سان فرانسيسكو"". بتعطيك الخلاصة عن سان فرانسيسكو.","معنى أن ننصحك بثقة ""San Francisco City Tour"". يمنحك ملخص سان فرانسيسكو."
397,بدي أعمل تأمين.,اريد ان اعمل.
398,خلينا نحط كمادة باردة مشان يروح الوجع.,دعونا نضع مادة باردة ، لذلك سوف يذهب الألم.
399,بدها تشتري فستان.,إنها تريد شراء فستان.
400,بشقد التكسي لهالفندق؟,مع الديكور التاكسي للفندق؟
401,وين الحمامات؟,أين دورة المياه؟
402,بتكلف شي الدخلة عهالبناية؟,ما هي تكلفة الدخول؟
403,شلون بتريد.,كيف تريد.
404,عم دور ع شي رسمي.,دور شيء رسمي.
405,الشباك مسدود.,تم حظر الشبكة.
406,هو ع إينا طرف من يونيون سكوير؟,هل في حزب يونيون ميدان؟
407,نص أونصة من شانيل رقم خمسة، إذا سمحت.,نص Ansal من شانيل رقم خمسة ، إذا سمح.
408,اش رأيك بقهوة؟,ما رأيك في القهوة؟
409,لازم يكون معي بطاقة؟,يجب أن يكون لدي بطاقة؟
410,تقريباً شقد كلفة الخدمة؟,تقريبا تكلفة الخدمة؟
411,شقد من هون؟,هون هون؟
412,كريم وسكر؟,القشدة و السكر؟
413,عندك شي تخفيضات للأعضاء؟,هل لديك أي علاقة بالأعضاء؟
414,في سوبر اكسبريس بالتسعة ونص؟,في Super Express في تسعة ونص؟
415,خليني شوف سائل الفرين والمحرك. محركك هيئتو كأنو معطل.,دعونا نرى السائل والمحرك. محركك كما لو كان يعطل.
416,ما كان غلطي.,ما هو الخطأ.
417,مافي كهربا.,لا توجد كهرباء.
418,رح أخبر الشرطة بالموضوع.,سأخبر الشرطة.
419,الكل رح يكون لازم يدفع عن مشاريبو؟,سيتعين دفع الجميع مقابل ماشاريبو؟
420,بأي محل بين تلاتين وخمسين دولار بالليلة.,في أي مكان بين اثنين وخمسين دولار في الليلة.
421,إذا سمحت صلحلي هاد.,إذا سمحت لحضر.
422,بأيام راس السنة. وبالمناسبات الخاصة متل العراس، حفلات التكريم أو الجنازات.,أيام السنة الجديدة. في المناسبات الخاصة ، مثل رئيس أو شرف أو حفلات الجنازة.
423,خردل زيادة، إذا سمحت.,زيادة الخردل ، إذا سمح.
424,ليش ما بتعطيها هدية؟,لماذا لا تقدم لها هدية؟
425,بإينا فيلم بتنصح؟,في اينا ، هل تنصح؟
426,هي عشرين ورجعلي دولارين فراطة، إذا سمحت.,إنه عشرين دولارًا واثنين من الدولار ، إذا سمح به.
427,ضربتني عالطرف.,لقد ضربت النهاية.
428,بحسن أجي عالتنتين.,حسن عجي ألانتين.
429,هي الشناتي من الرحلة جيه أيه ال صفر واحد؟,هل الشاناتي من رحلة Ja al Zero One؟
430,هي أول روحة إلي ع باريس.,إنها الرائحة الأولى لباريس.
431,خرج تقدرلي شقد بكلف قبل ما تبدا شغل عليه؟,لقد خرجت ، يمكنك أن تقرر خسارتها قبل ما تبدأ العمل عليه؟
432,تفضل، إذا سمحت.,تفضل ، إذا سمح.
433,طلعة التمشاية تبعتنا رح تكون حلوة كتير.,يتبعنا الرابع ، سيكون حلوًا جدًا.
434,من وين منطلع عالقارب؟,أين تستيقظ؟
435,ما عنا شنتاية لهالكمية بقا رح أحطو بهالكيس الكبير.,لم نلعنه ، سأبقى مع العظيم.
436,بدي ألعب تنس.,أريد أن ألعب التنس.
437,في عصير أناناس، برتقان وبندورة.,في عصير أناناس ، النبض والطماطم.
438,بهالطابق ع طرف اليسار، جنب المصعد.,حسب الأرض في نهاية اليسار ، جانب المصعد.
439,اشفي عزف اليوم بقاعة الحفلات؟,شفاء اللعب اليوم في قاعة الحفلات؟
440,ما بتفضل تشوف غير فيلم؟,ماذا تفضل مشاهدته بخلاف فيلم؟
441,إذا سمحت صروف شيك السفر هاد كاش.,إذا سمحت بفحص السفر ، فهذا نقد.
442,بدي آخد نفس الدورة بكرة، إذا سمحت.,أريد أن آخذ نفس الجلسة مع كرة ، إذا سمح بها.
443,عالأغلب بقدر أعطيك جواب أحسن بعد كم عرض.,في أغلب الأحيان ، بقدر ما أعطيك إجابة أفضل بعد كم.
444,بدي هدية خرج ذكرى سنوية.,اريد هدية خرجت سنويا.
445,اشفي مسرحيات موسيقية هلئ؟,شفاء المسرحيات الموسيقية؟
446,معك مراية؟,هل لديك مرآة؟
447,عفواً، بس ضيعت الطريق. خرج تساعدني؟,آسف ، لكن الطريق فقد.
448,بدي آخد هاد، إذا سمحت.,أريد أن آخذ هذا ، إذا سمحت بذلك.
449,ما بصير تجيب ألعاب نارية عكندا.,لا أريد الإجابة على الألعاب النارية.
450,مرتك معلمة طبخ.,وقتك هو مدرس طبخ.
451,لازمك مساعدة شي؟,هل تحتاج إلى مساعدة شيء ما؟
452,خرج تحجز تكسي عالستة الصبح، إذا سمحت؟,أخرج سيارة أجرة تم حجزها في الصباح ، إذا سمحت؟
453,اش بتحب جنب وجبتك الرئيسية؟,هل تحب وجبتك الرئيسية؟
454,في محل ألبسة قريب من هون؟,في متجر للملابس بالقرب من هون؟
455,هالمحل معبا ناس، ما؟,هذا هو المتجر ، أيها الناس ، ماذا؟
456,عفواً. رح يجهزوا حوالي خمس دقايق.,آسف. سوف يستعد حوالي خمس دقائق.
457,تيبست رقبتي وأنا نايم.,رقبتي نائمة بينما كنت نائما.
458,أوكي، ما مشكلة. خرج شوف جوازك؟,حسنًا ، ما هي المشكلة.
459,ما معي مصاري.,ليس لدي قدري.
460,إيمت لازم أكون بالمحطة؟,يجب أن أكون المحطة؟
461,في كتير مطاعم هون.,هناك العديد من المطاعم هنا.
462,هو جنب غرفة الامانات.,هذا هو جانب غرفة الأمانة.
463,انبسطت بالحديث معك.,اجتاحت التحدث معك.
464,في جولة بعد الضهر؟,في جولة بعد الظهر؟
465,أنا مع رفقاتي.,أنا مع رفاقي.
466,انبسطت بإقامتي. شكراً إلك.,لقد امتدت مع إقامتي ، شكرًا لك.
467,الشاطئ تحت مباشرة. اش منظر حلو.,الشاطئ مباشرة.
468,شكراً لانتظارك، آنسة ماكغواير. هاد هو. تفضلي، إذا سمحتي.,شكرًا على انتظارك ، Miss McGoire.Me.
469,عندك هوية صورية؟,هل لديك هوية وهمية؟
470,سبعة، إذا سمحت.,سبعة ، إذا سمح.
471,بدي أبعت هاد عالغسيل. إيمت بكون جاهز؟,أريد بيع هذا الغسيل. هل كنت جاهزًا؟
472,عندي بنطلون مخطط.,لدي بنطلون مخطط.
473,نعم. شناطي شخص تاني وصلت لعندي عالغرفة هلئ. خرج تشوف الموضوع، إذا سمحت؟,نعم ، سينيتي ، الشخص الثاني الذي وصل إلى الغرفة.
474,خرج تنشرح بتفصيل أكتر؟,الخروج شرح المزيد من التفاصيل؟
475,نمت منيح؟,نما مينه؟
476,خرج تكبس زر التصوير؟,خرج زر التصوير الفوتوغرافي؟
477,مفتاحين، إذا سمحت.,مفتاح اثنين ، إذا سمح.
478,بدي لمبديرة.,أريد أن أكون مديرًا.
479,هو بآخر الممر.,إنه الممر الأخير.
480,بدي شوية ورق مسودة.,أريد ورقة صغيرة.
481,بدنا نروح بالباص؟,نريد أن نذهب في الحافلة؟
482,قلت أنك طالع ع طوكيو بكرة؟,قلت أنك قرأت على طوكيو مع كرة؟
483,خليني أنام للساعة تسعة.,اسمحوا لي أن أنام لمدة تسع ساعات.
484,بدي أحول ع أ و واحد صفر صفر. ممكن؟,أريد أن أدير A و Zero.mybe؟
485,شلون لعبتك هالأيام؟,كيف حالك؟
486,حاسس صدري عم يضيق.,أشعر أن صدري يضيق.
487,ما مشكلة. إذا جيت بخمسة أيلول، بتقدر تستمتع بعرض فيلم علمي لأنو عنا يوم خاص مفتوح بأول جمعة من كل شهر.,ما هي المشكلة. إذا أتيت مع الخامس من سبتمبر ، يمكنك الاستمتاع بعرض فيلم علمي لأننا مفتوحان يوم خاص مع أول يوم جمعة من كل شهر.
488,في عندك غير جولات شي؟,هل لديك شيء آخر غير شيء؟
489,طيب، حسم خمسة بمالية. منيح؟,حسنا ، استقر خمسة تمويل. mnih؟
490,رايح ع باريس.,راينج على باريس.
491,هو مو آخر موديل، ما؟,إنه ليس النموذج الأخير ، ماذا؟
492,موعدو الساعة تمانة ونص المسا بالتوقيت المحلي.,تاريخ الساعة الثامن ونص بالتوقيت المحلي.
493,دخول ع هالبناية معنا، إذا سمحت.,أدخل هذا المبنى معنا ، إذا سمحت بذلك.
494,طيب. بدي صحن وسط وكرات رز.,جيد ، أريد طبقًا متوسطًا وكرات الأرز.
495,شلون هالمنظر؟,كيف تبدو؟
496,بدي أشوف هداك يلي بالشباك، إذا سمحت.,أريد أن أرى هداياك ، إذا سمحت بذلك.
497,مستحيل. نحن بإجازة. ما برضى أقعد بغرفة الفندق وأتفرج عالبيسبول عالتلفزيون. بدي أروح أشوف مسرحية.,مستحيل. نحن في إجازة. أنا لست راضيًا عن غرفة الفندق ، وشاهدت لعبة البيسبول على التلفزيون. أريد أن أرى مسرحية.
498,معلش أدقرو؟,ألا تنقر؟
499,خرج تجي لهون تصلحو؟,أخرجت لك؟
500,بدي ألياف صنعية.,اريد الألياف.
501,اسمي تارو تاناكا. عندي حجز.,اسمي Taro Tanaka.i لدي تحفظ.
